source,handle,title,source_type,message_text_sample,inferred_value,normalized_irr_value,extraction_type,freshness,parseability_score,timestamp_iso,inferred_unit,sub_locality,tehran_reference,delta_value,quote_density_score
exchangeratescountries,exchangeratescountries,نرخ ارز ساعتی £ $ €,regional_market_channel,". ⭕️ قیمت ارزهای آزاد | دوشنبه 24 فروردین 1405 - 11:45 🇺🇸 دلار : 1,574,200 ریال 🇪🇺 یورو : 1,840,800 ریال 🇬🇧 پوند انگلیس : 2,115,200 ریال 🇦🇪 درهم امارات : 428,790 ریال 🇹🇷 لیر ترکیه : 35,300 ریال 🇨🇭 فرانک سوئیس : 1,993,300 ریال 🇩🇰 کرون دانمار...",2108749.50,2108749.50,single,fresh,69,2026-04-13T08:26:04+00:00,rial,iraq,,,100.00
ir_dolar,ir_dolar,قیمت لحظه ای دلار,regional_market_channel,"#1404_12_06 ⏰ 20:07 💵 #دلار تهران_نقدی 🇮🇷 164,800 تا 164,900 دلار 🇺🇸 تهران بین همکاران 165,200 دینار عراق 🇮🇶 105,000 تومان 🅱 بیت‌کوین 67.947.00 💵 📈 💰 قیمت ارز،طلا و خودرو 👇 @ir_dolar @new_onlin",105000.00,1050000.00,single,old,76,2026-02-25T16:37:11+00:00,toman,iraq_generic,,,73.00
ir_dolar,ir_dolar,قیمت لحظه ای دلار,regional_market_channel,"#1404_12_07 ⏰ 14:42 💵 #دلار تهران_نقدی 🇮🇷 164,700 تا 164,800 دلار 🇺🇸 تهران بین همکاران 165,100 دینار عراق 🇮🇶 105,000 تومان 🅱 بیت‌کوین 68.347.00 💵 📈 💰 قیمت ارز،طلا و خودرو 👇 @ir_dolar @new_onlin",105000.00,1050000.00,single,old,76,2026-02-26T11:12:55+00:00,toman,iraq_generic,,,73.00
ir_dolar,ir_dolar,قیمت لحظه ای دلار,regional_market_channel,"#1404_12_07 ⏰ 20:13 💵 #دلار تهران_نقدی 🇮🇷 165,700 تا 165,800 دلار 🇺🇸 تهران بین همکاران 166,100 دینار عراق 🇮🇶 105,000 تومان 🅱 بیت‌کوین 67.199.00 💵 📈 💰 قیمت ارز،طلا و خودرو 👇 @ir_dolar @new_onlin",105000.00,1050000.00,single,old,76,2026-02-26T16:43:46+00:00,toman,iraq_generic,,,73.00
iranianerbil2,iranianerbil2,ایرانیان اربیل,exchange_shop,"صدور اقامت یکساله اربیل 🎖 🎖 اقامت یکساله اولی ها 🎖 🎖 (هزینه اداره اقامت+هزینه بیمه تندرستی+هزینه پست) 🥇 🥇 🥇 🥇 🥇 🥇 🥇 🎖 تمدیدی یکساله و شش ماهه (هزینه اداره اقامت+هزینه بیمه تندرستی+هزینه پست) 🥇 🥇 🥇 🥇 🥇 🥇 🥇 هزینه آزمایش خون نیز 85,000 دینار م...",850000.00,850000.00,single,old,48,2026-02-16T18:24:24+00:00,toman,erbil,,,65.00
iranianerbil2,iranianerbil2,ایرانیان اربیل,exchange_shop,"صدور اقامت یکساله اربیل 🎖 🎖 اقامت یکساله اولی ها 🎖 🎖 (هزینه اداره اقامت+هزینه بیمه تندرستی+هزینه پست) 🥇 🥇 🥇 🥇 🥇 🥇 🥇 🎖 تمدیدی یکساله و شش ماهه (هزینه اداره اقامت+هزینه بیمه تندرستی+هزینه پست) 🥇 🥇 🥇 🥇 🥇 🥇 🥇 هزینه آزمایش خون نیز 85,000 دینار م...",850000.00,850000.00,single,old,76,2026-02-22T05:09:48+00:00,toman,erbil,,,65.00
iranianerbil2,iranianerbil2,ایرانیان اربیل,exchange_shop,⭕️ آگهی استخدام استاد کار رویه کوب مبل ♦️ عنوان کار : استادکار رویه کوب مبل ♦️ حقوق ماهیانه : ۶۰۰ الی ۱۰۰۰ دلار ( بستگی به کار طرف داره) ♦️ محل کار : اربیل ♦️ جای خواب واحد مسکونی هست و سه وعده غذایی هم دارن ♦️ حقوق ۱۵هم به ۱۵ هم تسویه میشو...,948130.00,948130.00,single,old,44,2026-02-24T15:39:05+00:00,toman,erbil,,,65.00
iranianerbil2,iranianerbil2,ایرانیان اربیل,exchange_shop,⭕️ آگهی استخدام ♦️ عنوان کار : کاشی کار ♦️ حقوق ماهیانه : دیوار متری ۴ دلار و بدنه متری ۳ دلار ♦️ محل کار : سلیمانیه ♦️ جای خواب و وعده غذایی دارد 🎖 موسسه مشاوره شغلی و کاریابی غیر دولتی خارجی الوان 📌 با مجوز رسمی شماره ثبت 94813 ➡️ 0918013...,948130.00,948130.00,single,old,44,2026-02-24T15:50:10+00:00,toman,sulaymaniyah,,,65.00
iranianerbil2,iranianerbil2,ایرانیان اربیل,exchange_shop,"صدور اقامت یکساله اربیل 🎖 🎖 اقامت یکساله اولی ها 🎖 🎖 (هزینه اداره اقامت+هزینه بیمه تندرستی+هزینه پست) 🥇 🥇 🥇 🥇 🥇 🥇 🥇 🎖 تمدیدی یکساله و شش ماهه (هزینه اداره اقامت+هزینه بیمه تندرستی+هزینه پست) 🥇 🥇 🥇 🥇 🥇 🥇 🥇 هزینه آزمایش خون نیز 85,000 دینار م...",850000.00,850000.00,single,old,76,2026-02-25T04:42:13+00:00,toman,erbil,,,65.00
lubrinol,lubrinol,lubrinol,regional_market_channel,🗓 ۱۴۰۰/۰۶/۰۲ ۱۱:۱۰ دلار در تهران : ۲۷.۸۳۰ 🇺🇸 🔺 دلار در هرات : ۲۷.۵۶۰ 🇺🇸 🔺 دلار در صرافی ملی : ۲۶.۸۶۲ 🇺🇸 ➖ دلار در سامانه نیما : ۲۲.۹۰۷ 🇺🇸 🔻 تتر : ۲۸.۱۰۰ 🇺🇸 🔺 یورو اتحادیه اروپا : ۳۲.۲۰۰ 🇪🇺 🔺 پوند انگلیس : ۳۷.۴۰۰ 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🔺 درهم امارات : ۷.۵۶...,1824277.65,1824277.65,single,old,44,2021-08-24T07:17:28+00:00,toman,iraq,,,75.00
new_onlin,new_onlin,قیمت آنلاین ارز،طلا_خودرو,regional_market_channel,"#1404_12_06 ⏰ 20:07 💵 #دلار تهران_نقدی 🇮🇷 164,800 تا 164,900 دلار 🇺🇸 تهران بین همکاران 165,200 دینار عراق 🇮🇶 105,000 تومان 🅱 بیت‌کوین 67.947.00 💵 📈 💰 قیمت ارز،طلا و خودرو 👇 @ir_dolar @new_onlin",105000.00,1050000.00,single,old,76,2026-02-25T16:37:10+00:00,toman,iraq_generic,,,73.00
new_onlin,new_onlin,قیمت آنلاین ارز،طلا_خودرو,regional_market_channel,"#1404_12_07 ⏰ 14:42 💵 #دلار تهران_نقدی 🇮🇷 164,700 تا 164,800 دلار 🇺🇸 تهران بین همکاران 165,100 دینار عراق 🇮🇶 105,000 تومان 🅱 بیت‌کوین 68.347.00 💵 📈 💰 قیمت ارز،طلا و خودرو 👇 @ir_dolar @new_onlin",105000.00,1050000.00,single,old,76,2026-02-26T11:12:54+00:00,toman,iraq_generic,,,73.00
new_onlin,new_onlin,قیمت آنلاین ارز،طلا_خودرو,regional_market_channel,"#1404_12_07 ⏰ 20:13 💵 #دلار تهران_نقدی 🇮🇷 165,700 تا 165,800 دلار 🇺🇸 تهران بین همکاران 166,100 دینار عراق 🇮🇶 105,000 تومان 🅱 بیت‌کوین 67.199.00 💵 📈 💰 قیمت ارز،طلا و خودرو 👇 @ir_dolar @new_onlin",105000.00,1050000.00,single,old,76,2026-02-26T16:43:46+00:00,toman,iraq_generic,,,73.00
